id,name,road,startLat,startLng,endLat,endLng,lengthM,widthM,heightM,lanes,diff
t343,서면2터널(양양),서울양양고속국도,37.989067,128.528331,37.989067,128.528331,248,11.6,7.3,2,1
t344,서면3터널(서울),서울양양고속국도,38.004987,128.538509,38.004987,128.538509,212,11.6,7.1,2,1
t345,서면3터널(양양),서울양양고속국도,38.004987,128.538509,38.004987,128.538509,212,12.7,7.1,2,1
t346,서면4터널(양양),서울양양고속국도,38.013188,128.54302,38.013188,128.54302,117,12.7,7.3,2,1
t347,서면5터널(서울),서울양양고속국도,38.021406,128.547612,38.021406,128.547612,1311,12.7,7.3,2,4
t348,서면5터널(양양),서울양양고속국도,38.021406,128.547612,38.021406,128.547612,1311,12.8,7.3,2,4
t349,서면6터널(서울),서울양양고속국도,38.036143,128.575618,38.036143,128.575618,2917,12.8,7.3,2,5
t350,서면6터널(양양),서울양양고속국도,38.036143,128.575618,38.036143,128.575618,2968,13.4,7.3,2,5
t351,서면7터널(서울),서울양양고속국도,38.051505,128.587038,38.051505,128.587038,773,13.4,7.3,2,3
t352,서면7터널(양양),서울양양고속국도,38.051505,128.587038,38.051505,128.587038,748,13.4,7.3,2,3
t353,서석터널(서울),서울양양고속국도,37.801069,128.190077,37.801069,128.190077,2997,13.4,7.3,2,5
t354,서석터널(양양),서울양양고속국도,37.801069,128.190077,37.801069,128.190077,3061,13.4,7.3,2,5
t355,양양1터널(삼척),동해고속국도,38.090093,128.581679,38.090093,128.581679,516,12.3,7.3,2,2
t356,양양1터널(속초),동해고속국도,38.090093,128.581679,38.090093,128.581679,470,12.3,7.3,2,2
t357,양양2터널(삼척),동해고속국도,38.099007,128.581382,38.099007,128.581382,874,11.6,7.3,2,3
t358,양양2터널(속초),동해고속국도,38.099007,128.581382,38.099007,128.581382,887,11.6,7.3,2,3
t359,인제양양터널(서울),서울양양고속국도,37.973239,128.46725,37.973239,128.46725,10965,12.7,7.3,2,5
t360,인제양양터널(양양),서울양양고속국도,37.973239,128.46725,37.973239,128.46725,10962,12.7,7.3,2,5
t361,청대터널(삼척),동해고속국도,38.179804,128.568323,38.179804,128.568323,1570,12.8,7.3,2,4
t362,청대터널(속초),동해고속국도,38.179804,128.568323,38.179804,128.568323,1532,12.8,7.3,2,4
t363,행치령터널(서울),서울양양고속국도,37.816398,128.217176,37.816398,128.217176,1397,12.8,7.3,2,4
t364,행치령터널(양양),서울양양고속국도,37.816398,128.217176,37.816398,128.217176,1422,12.8,7.3,2,4
t365,치악1터널(춘천),중앙고속국도,37.265679,128.029965,37.265679,128.029965,193,10,6.7,2,2
t366,치악2터널(부산),중앙고속국도,37.266421,128.018736,37.266421,128.018736,298,10,6.7,2,2
t367,치악2터널(춘천),중앙고속국도,37.266421,128.018736,37.266421,128.018736,179,10,6.7,2,1
t368,치악3터널(부산),중앙고속국도,37.266421,128.018736,37.266421,128.018736,320,10,6.7,2,2
t369,치악3터널(춘천),중앙고속국도,37.266421,128.018736,37.266421,128.018736,298,10,6.7,2,2
t370,치악4터널(부산),중앙고속국도,37.278191,128.002631,37.278191,128.002631,151,10,6.7,2,1
t371,치악4터널(춘천),중앙고속국도,37.278191,128.002631,37.278191,128.002631,147,10,6.7,2,1
t372,금대1터널(부산),중앙고속국도,37.278191,128.002631,37.278191,128.002631,317,10,6.7,2,2
t373,금대1터널(춘천),중앙고속국도,37.278191,128.002631,37.278191,128.002631,324,10,6.7,2,2
t374,금대2터널(부산),중앙고속국도,37.284731,127.995006,37.284731,127.995006,213,10,6.7,2,2
t375,금대2터널(춘천),중앙고속국도,37.284731,127.995006,37.284731,127.995006,228,10,6.7,2,2
t376,마곡터널(서울),서울양양고속국도,37.72196,127.579523,37.72196,127.579523,958,11.6,7.3,2,4
t377,마곡터널(양양),서울양양고속국도,37.72196,127.579523,37.72196,127.579523,919,11.6,7.3,2,4
t378,발산1터널(서울),서울양양고속국도,37.728888,127.600463,37.728884,127.600469,599,11.6,7.3,2,2
t379,발산1터널(양양),서울양양고속국도,37.727595,127.596165,37.729298,127.603121,633,11.6,7.3,2,3
t380,발산2터널(서울),서울양양고속국도,37.730133,127.611681,37.730142,127.611693,504,11.6,7.3,2,2
t381,발산2터널(양양),서울양양고속국도,37.729503,127.605414,37.729988,127.610829,480,11.6,7.3,2,2
t382,발산3터널(서울),서울양양고속국도,37.729503,127.605403,37.730016,127.610807,251,11.6,7.3,2,1
t383,발산3터널(양양),서울양양고속국도,37.730348,127.6109,37.729757,127.605053,254,11.6,7.3,2,1
t384,발산4터널(서울),서울양양고속국도,37.74015,127.646954,37.739868,127.642144,387,11.6,7.3,2,1
t385,발산4터널(양양),서울양양고속국도,37.740396,127.645983,37.740114,127.641488,433,11.6,7.3,2,2
t386,추곡터널(서울),서울양양고속국도,37.740484,127.665801,37.740484,127.665798,412,11.6,7.3,2,2
t387,추곡터널(양양),서울양양고속국도,37.740482,127.66579,37.740484,127.66579,433,11.6,7.3,2,2
t388,행촌터널(양양),서울양양고속국도,37.743277,127.688146,37.743277,127.688151,463,11.6,7.3,2,2
t389,행촌터널(서울),서울양양고속국도,37.743282,127.688143,37.743282,127.68814,459,11.6,7.3,2,2
t390,광판터널(양양),서울양양고속국도,37.746391,127.698766,37.74639,127.698772,358,11.6,7.3,2,1
t391,광판터널(서울),서울양양고속국도,37.746442,127.698777,37.746442,127.698777,278,11.6,7.3,2,1
t392,군자1터널(서울),서울양양고속국도,37.759022,127.749004,37.760339,127.754339,511,11.6,7.3,2,2
t393,군자1터널(양양),서울양양고속국도,37.760655,127.754314,37.759214,127.748614,474,11.6,7.3,2,2
t394,군자2터널(양양),서울양양고속국도,37.76143,127.75839,37.760313,127.768921,885,11.6,7.3,2,3
t395,군자2터널(서울),서울양양고속국도,37.761005,127.763646,37.761005,127.763646,915,11.6,7.3,2,3
t396,지정1터널(상행),광주원주고속국도,37.402402,127.793175,37.403354,127.78571,655,11.6,7.2,2,3
t397,지정1터널(하행),광주원주고속국도,37.40313,127.785902,37.402202,127.793008,615,11.6,7.2,2,3
t398,지정2터널(상행),광주원주고속국도,37.390292,127.836543,37.398978,127.807648,2730,12.5,7.3,2,5
t399,지정2터널(하행),광주원주고속국도,37.398845,127.807038,37.39002,127.836604,2790,12.5,7.3,2,5
t400,지정3터널(하행),광주원주고속국도,37.389957,127.840229,37.391903,127.850185,890,11.6,7.2,2,4
t401,지정3터널(상행),광주원주고속국도,37.392145,127.849999,37.390214,127.839913,905,11.6,7.2,2,4
t402,매봉터널(하행),광주원주고속국도,37.387849,127.909116,37.387954,127.915252,530,11.6,7.2,2,2
t403,매봉터널(상행),광주원주고속국도,37.388172,127.915571,37.388163,127.909147,530,11.6,7.2,2,2
t404,수련지하차도,시도,37.204012,128.097851,37.203944,128.097622,8,0,0,1,1
